sweeps,distance_bin,gt_count,matched_count,recall,mean_score
1,0-20m,1513,937,0.6192994051553206,0.6229555105259732
1,20-40m,1967,744,0.3782409761057448,0.4933513580390843
1,40-50m,461,33,0.07158351409978309,0.426101056915341
5,0-20m,1513,1067,0.70522141440846,0.6422591498217631
5,20-40m,1967,1064,0.5409252669039146,0.5201916553472218
5,40-50m,461,95,0.20607375271149675,0.41371015404400074
10,0-20m,1513,1151,0.7607402511566425,0.6393121418799658
10,20-40m,1967,1180,0.5998983223182511,0.5374278675196534
10,40-50m,461,123,0.2668112798264642,0.42648796167800096
